Order Number,Item,Pinyin,Frequency,Definition,Usage,Part_of_Speech,Status
921,速,su4,8,"Speed, velocity, or rate; describes how fast something moves or happens.","Commonly used in compounds like 速度 (speed), 快速 (fast/rapid), and 高速 (high-speed)",noun/adjective,success
922,释,shi4,8,"To release, let go, or set free; to explain or interpret the meaning of something","Common in words like 解释 (to explain), 释放 (to release), and 诠释 (to interpret)",verb,success
923,闷,men4,8,"Feeling bored, depressed, or stuffy; describes a heavy, oppressive feeling in one's mood or atmosphere.",Common in expressions like 闷热 (stuffy/humid weather) or 心里很闷 (feeling down/depressed),adjective,success
924,际,ji4,8,"Edge, border, or boundary; often used to mean 'between' or 'inter-' in compound words relating to relationships or connections.","Commonly seen in words like 国际 (guójì - international), 实际 (shíjì - actual/practical), and 交际 (jiāojì - social interaction)",noun/bound morpheme,success
925,雾,wu4,8,Fog or mist; a thick cloud of tiny water droplets suspended in the air near the ground that reduces visibility.,Common in weather descriptions like 大雾 (heavy fog) or 雾天 (foggy day),noun,success
926,馆,guan3,8,"A building or establishment that serves a specific public function, such as a museum, library, restaurant, or hotel. It is used as a suffix to indicate various types of public venues or facilities.","Common in words like 图书馆 (library), 博物馆 (museum), 饭馆 (restaurant), 宾馆 (hotel)",noun,success
927,付,fu4,7,To pay or hand over money; to give payment for goods or services.,Common in words like 付钱 (to pay money) and 支付 (payment),verb,success
928,伙,huo3,7,"A measure word for groups of people, often with a collective or informal sense; can also mean 'partner' or 'companion'.",Commonly seen in 伙伴 (huǒbàn - partner/companion) and 一伙人 (yì huǒ rén - a group of people),measure word/noun,success
929,偷,tou1,7,To steal or take something secretly without permission; can also mean to do something secretly or stealthily.,"Common in phrases like 偷东西 (steal things) or 偷偷地 (secretly, stealthily)",verb,success
930,允,yun3,7,"To allow, permit, or consent to something. It means to give permission or approval for an action or request.",Commonly seen in formal contexts like 允许 (yǔnxǔ - to permit) and 答应 (dāying - to promise/agree),verb,success
931,凤,feng4,7,"Phoenix, a mythical Chinese bird symbolizing good fortune, prosperity, and the empress. Often paired with dragon (龙) in traditional Chinese culture.","Common in names, idioms like 龙凤呈祥 (dragon and phoenix bring prosperity), and cultural references",noun,success
932,功,gong1,7,"Merit, achievement, or skill; also refers to effort or work put into something. Commonly used to describe accomplishments,功夫 (kung fu/skill), or success in endeavors.","Found in words like 成功 (success), 功课 (homework/lessons), and 功夫 (kung fu/skill)",noun,success
933,努,nu3,7,To exert oneself or make an effort; to strive or work hard toward a goal.,"Most commonly seen in the word 努力 (nǔlì, to work hard/make an effort)",verb,success
934,卧,wo4,7,To lie down or recline; to be in a horizontal resting position.,"Common in words like 卧室 (bedroom, literally 'lying room') and 卧铺 (sleeping berth on a train)",verb,success
935,叹,tan4,7,"To sigh or exclaim, expressing emotions like sadness, regret, or admiration through an audible breath or utterance.",Commonly seen in words like 叹气 (to sigh) and 感叹 (to exclaim with emotion),verb,success
936,吁,xu1,7,To exhale or sigh; to appeal or call out for something urgently.,Often seen in formal written expressions like 呼吁 (to appeal/call for),verb,success
937,咆,pao2,7,"To roar or bellow loudly, typically describing the fierce sound made by animals like lions or tigers, or angry shouting by people.",Most commonly seen in the word 咆哮 (páoxiào) meaning 'to roar',verb,success
938,咔,ka1,7,"An onomatopoeia representing a clicking, snapping, or cracking sound.","Commonly used in words like 咔嚓 (kāchā, click/snap sound) or to mimic mechanical sounds",onomatopoeia,success
939,咙,long2,7,Throat; refers to the passage in the neck used for breathing and swallowing,"Almost always used in the compound word 喉咙 (hóulóng, throat)",noun,success
940,哮,xiao1,7,"To roar, howl, or wheeze; describes loud, forceful breathing sounds or animal roars.","Most commonly seen in 哮喘 (xiàochuǎn, asthma) and describing roaring sounds like wind or beasts",verb,success
941,啦,la,7,"Modal particle that combines 了 (le) and 啊 (a), used at the end of sentences to indicate a change of state or completion with an exclamatory or casual tone.","Common in spoken Chinese to soften statements or express enthusiasm, as in 好啦 (alright then) or 我走啦 (I'm leaving now)",particle,success
942,喉,hou2,7,"Throat; the passage in the neck through which food and air pass. Refers to the anatomical structure used for breathing, swallowing, and speaking.",Commonly appears in medical contexts and compound words like 喉咙 (throat) and 咽喉 (pharynx and larynx),noun,success
943,喷,pen1,7,"To spray, spurt, or gush out; to eject liquid or gas forcefully from an opening.","Common in words like 喷泉 (fountain), 喷水 (spray water), or describing actions like sneezing or spraying perfume",verb,success
944,团,tuan2,7,"A round mass or ball; also means group, organization, or团体 (团 is commonly used to refer to organized groups or团队).","Found in words like 团队 (team), 集团 (group/corporation), 饭团 (rice ball)",noun/measure word,success
945,圆,yuan2,7,Round or circular in shape; also means complete or satisfactory. Can refer to a circle or sphere as a noun.,"Common in words like 圆形 (circular shape), 团圆 (family reunion), and 圆满 (perfect/complete)",adjective/noun,success
946,妙,miao4,7,"Wonderful, excellent, or marvelous; describes something clever, ingenious, or remarkably good.",Common in expressions like 美妙 (beautiful/wonderful) and 奇妙 (amazing/magical),adjective,success
947,委,wei3,7,"To entrust, appoint, or delegate responsibility to someone; also means to shift blame or shirk responsibility.","Commonly seen in words like 委托 (entrust), 委员 (committee member), and 委屈 (feel wronged)",verb,success
948,层,ceng2,7,"Layer, level, or floor of a building. Used as a measure word for things that are stacked or arranged in layers.","Common in expressions like 一层 (first floor), 三层楼 (three-story building), or 一层意思 (one layer of meaning)",noun/measure word,success
949,巷,xiang4,7,"A narrow lane, alley, or small street, typically found in residential areas or between buildings.",Common in words like 小巷 (small alley) and 巷子 (lane),noun,success
950,度,du4,7,"Degree or extent; a measure of temperature, angles, or intensity. Also means 'to spend/pass' time or to measure.","Common in words like 温度 (temperature), 态度 (attitude), 速度 (speed), and 度过 (to spend time)",noun/verb,success
951,廷,ting2,7,Royal court or imperial court; refers to the place where a monarch conducts official business and holds audiences.,"Mainly appears in formal or classical contexts, such as 朝廷 (imperial court) or 宫廷 (royal palace/court)",noun,success
952,彩,cai3,7,"Color or variety of colors; also refers to applause, praise, or lottery/prize winnings.","Most commonly seen in words like 彩色 (colored), 精彩 (wonderful), and 彩票 (lottery ticket)",noun,success
953,悉,xi1,7,To know in detail or be fully informed about something; to be familiar with all aspects of a matter.,"Commonly seen in formal or literary contexts, such as 熟悉 (familiar with) and 悉知 (to know fully)",verb,success
954,扎,zha1,7,"To tie, bind, or fasten something together; to prick or pierce into something.",Common in words like 扎头发 (tie hair) or 扎针 (give an injection),verb,success
955,捅,tong3,7,"To poke, stab, or thrust with a pointed object; to prod or jab something with force.","Often used for physical actions like poking a hole (捅破) or stabbing, and figuratively for causing trouble or exposing secrets (捅娄子 - stir up trouble)",verb,success
956,排,pai2,7,To arrange or line up in a row; also means a row or line of things/people. Can also mean to rehearse (as in a play) or to exclude/discharge.,"Common in words like 排队 (line up), 排球 (volleyball), 排练 (rehearse)",verb/noun,success
957,旋,xuan2,7,"To rotate, revolve, or spin around; to turn in a circular motion",Common in words like 旋转 (xuánzhuǎn - to rotate) and 螺旋 (luóxuán - spiral),verb,success
958,易,yi4,7,"Easy, simple; also means to change or exchange. As an adjective, it describes something that is not difficult to do or understand.","Common in words like 容易 (easy), 简易 (simple), 交易 (transaction/trade), and 变易 (change)",adjective/verb,success
959,柱,zhu4,7,"A pillar, column, or post used to support a structure. Can also refer to anything shaped like a column or used as a support.",Commonly seen in words like 柱子 (zhùzi - pillar) and 石柱 (shízhù - stone pillar),noun,success
960,森,sen1,7,"Dense forest or woods; also means numerous, dense, or dark (like a thick forest). The character visually shows three trees (木) together to represent a forest.",Commonly seen in words like 森林 (sēnlín - forest) and 阴森 (yīnsēn - gloomy/eerie),noun/adjective,success
961,永,yong3,7,"Forever, eternal, or permanent. Expresses the idea of something lasting indefinitely or never ending.","Common in words like 永远 (forever), 永久 (permanent), and 永恒 (eternal)",adverb/adjective,success
962,泣,qi4,7,To weep or sob quietly; to cry silently with tears flowing down one's face.,More literary or formal than 哭 (kū); often appears in written Chinese and classical expressions,verb,success
963,派,pai4,7,"To send, dispatch, or assign someone to do something; also refers to a faction, school of thought, or style (as in '派别').","Common in contexts like 派人 (send someone), 派遣 (dispatch), or 流派 (school/style)",verb/noun,success
964,流,liu2,7,"To flow or stream; refers to the movement of liquids, air, or people in a continuous manner.","Common in words like 流水 (flowing water), 流行 (popular/trending), and 交流 (exchange/communicate)",verb,success
965,滑,hua2,7,Slippery or smooth in texture; to slide or glide across a surface,"Common in words like 滑冰 (ice skating), 光滑 (smooth), and 滑倒 (to slip and fall)",adjective/verb,success
966,灯,deng1,7,"A lamp, light, or lantern; any device that produces illumination.","Common in words like 电灯 (electric light), 红绿灯 (traffic light), and 台灯 (desk lamp)",noun,success
967,烁,shuo4,7,"To shine, sparkle, or glitter; describes bright, flickering light or something that gleams.",Commonly seen in literary expressions like 闪烁 (shǎnshuò - to twinkle) or 烁烁 (shuòshuò - sparkling),verb,success
968,烧,shao1,7,"To burn, to cook with fire or heat; can also mean to have a fever (when referring to body temperature).",Common in cooking contexts like 红烧 (braised) and medical contexts like 发烧 (to have a fever),verb,success
969,猎,lie4,7,To hunt or chase wild animals. Also used metaphorically for pursuing or seeking something actively.,"Common in words like 猎人 (hunter), 打猎 (to hunt), and 猎取 (to hunt for/seek)",verb,success
970,王,wang2,7,King or monarch; also an extremely common Chinese surname (Wang),"As a title means 'king' (国王), but most frequently encountered as a family name",noun/proper noun,success
971,瓶,ping2,7,A bottle or vase; a container typically made of glass or plastic with a narrow neck used for holding liquids.,"Commonly used as a measure word counter, as in 一瓶水 (a bottle of water) or 花瓶 (flower vase)",noun,success
972,篇,pian1,7,"A measure word (classifier) used for counting written works, articles, essays, and compositions.",Used in phrases like 一篇文章 (one article) or 三篇作文 (three essays),measure word,success
973,类,lei4,7,"Type, kind, or category; used to classify things into groups based on shared characteristics.","Common in words like 种类 (zhǒnglèi - type/kind), 人类 (rénlèi - humanity), and as a suffix meaning '-type' or '-kind'",noun/measure word,success
974,维,wei2,7,"To maintain, preserve, or keep something in a certain state; also means 'dimension' in technical contexts.","Common in words like 维持 (maintain), 维护 (safeguard), and 思维 (thinking/thought process)",verb/noun,success
975,耀,yao4,7,"To shine brightly, to dazzle, or to show off. Can refer to light radiating brilliantly or displaying something proudly.",Common in words like 荣耀 (glory/honor) and 闪耀 (to sparkle/shine),verb,success
976,育,yu4,7,"To raise, nurture, or educate; to give birth to or cultivate growth and development.","Commonly seen in words like 教育 (education), 体育 (physical education/sports), and 育儿 (child-rearing)",verb,success
977,腔,qiang1,7,"Tone, accent, or manner of speaking; also refers to a cavity or hollow space in the body.","Common in words like 口腔 (oral cavity), 腔调 (accent/tone), and 唱腔 (singing style)",noun,success
978,膝,xi1,7,"Knee, the joint in the middle of the leg where it bends.","Most commonly seen in the word 膝盖 (xī gài, knee) and phrases like 跪下 (kneel down)",noun,success
979,臂,bi4,7,"Arm, referring to the upper limb from shoulder to hand. Also used in compound words to describe arm-like extensions or branches.","Common in words like 手臂 (arm), 臂膀 (arm/shoulder), and 左右臂 (right-hand man)",noun,success
980,藏,cang2,7,"To hide, conceal, or store something away from view. Can also mean to collect or hoard.","Common in words like 躲藏 (to hide), 收藏 (to collect), 隐藏 (to conceal)",verb,success
981,观,guan1,7,"To look at, watch, or observe; to view or examine something carefully. Also means a view, perspective, or outlook on something.","Common in words like 参观 (visit/tour), 观看 (watch), 观点 (viewpoint), and 乐观 (optimistic)",verb/noun,success
982,诞,dan4,7,Birth or to be born; often used in formal or literary contexts to refer to someone's birth or birthday.,"Most commonly seen in 诞生 (dànshēng - to be born/come into being) and 圣诞 (Shèngdàn - Christmas, literally 'holy birth')",verb/noun,success
983,迫,po4,7,"To force, compel, or press someone to do something; to be urgent or pressing.","Common in words like 迫切 (urgent), 压迫 (oppress), and 逼迫 (force/coerce)",verb,success
984,追,zhui1,7,"To chase, pursue, or run after someone or something. Also commonly used to mean pursuing romantic interest in someone or catching up with something (like a TV show).","Used in phrases like 追人 (chase someone), 追剧 (binge-watch a series), 追求 (pursue/seek)",verb,success
985,适,shi4,7,"To suit, fit, or be appropriate for something; to be comfortable or suitable. Also means 'to go to' in classical Chinese.","Commonly seen in words like 适合 (suitable), 舒适 (comfortable), 适应 (adapt to)",verb/adjective,success
986,铃,ling2,7,A bell or small ringing device that makes a tinkling sound when shaken or struck.,"Commonly found in compounds like 门铃 (doorbell), 铃声 (ringtone), and 风铃 (wind chime)",noun,success
987,闭,bi4,7,"To close or shut something, such as a door, window, eyes, or mouth.","Common in words like 关闭 (to close), 闭嘴 (shut up), and 闭眼 (close eyes)",verb,success
988,震,zhen4,7,"To shake, vibrate, or shock; refers to earthquakes or strong trembling movements that cause impact or surprise.","Commonly seen in words like 地震 (earthquake), 震动 (vibration), and 震惊 (shocked/astonished)",verb/noun,success
989,霉,mei2,7,Mold or mildew; also refers to bad luck or misfortune in colloquial usage.,Common in words like 发霉 (to become moldy) and 倒霉 (to have bad luck),noun/adjective,success
990,鞠,ju1,7,To bow deeply or bend over as a sign of respect; also refers to raising or nurturing (in literary contexts).,"Most commonly seen in the phrase 鞠躬 (jū gōng, to bow) and 鞠养 (jū yǎng, to raise/nurture)",verb,success
991,骨,gu3,7,Bone; the hard structural parts of the skeleton in humans and animals.,"Common in words like 骨头 (bone), 骨折 (fracture), and 骨气 (moral integrity/backbone)",noun,success
992,鼓,gu3,7,"A drum (noun); to beat or strike a drum, or to encourage/inspire someone (verb)",Common in words like 打鼓 (play the drum) and 鼓励 (encourage),noun/verb,success
993,万,wan4,6,"The number ten thousand (10,000); a large numerical unit in the Chinese counting system","Essential for expressing large numbers, like 三万 (30,000) or 一万块钱 (10,000 yuan)",number,success
994,且,qie3,6,A conjunction meaning 'and' or 'moreover' that connects clauses or ideas; also used to mean 'for now' or 'temporarily' in certain contexts.,"Common in formal or written Chinese, as in 而且 (moreover) or 并且 (and also)",conjunction/adverb,success
995,久,jiu3,6,Long (in duration of time); refers to a lengthy period or extended time span.,"Common in phrases like 很久 (very long time), 好久不见 (long time no see)",adjective,success
996,促,cu4,6,"To urge, promote, or hurry someone to do something; also means short or brief in time or space.","Commonly seen in words like 促进 (to promote), 促使 (to urge), and 短促 (brief/short)",verb/adjective,success
997,具,ju4,6,"A measure word for objects with specific forms, such as corpses, coffins, or sets of items; also means 'tool' or 'to possess/have' in formal contexts.","Commonly seen in 一具尸体 (one corpse), 工具 (tool), or 具有 (to possess/have)",measure word/noun/verb,success
998,凑,cou4,6,"To gather together, collect, or pool (money, people, or things); to move close to something or someone.",Common in phrases like 凑钱 (pool money together) and 凑合 (make do with what's available),verb,success
999,凰,huang2,6,"Female phoenix in Chinese mythology, representing the empress or feminine imperial power. Always used in the compound 凤凰 (fènghuáng), where 凤 is the male phoenix and 凰 is the female phoenix.",Rarely used alone; almost exclusively appears in the word 凤凰 (phoenix),noun,success
1000,匙,shi,6,"A spoon or key; a utensil for eating or scooping, or an instrument for opening locks.",Commonly seen in compounds like 钥匙 (yàoshi - key) and 汤匙 (tāngchí - spoon),noun,success
1001,占,zhan4,6,"To occupy or take up (space, time, or a position); to account for or constitute (a proportion or percentage).",Common in phrases like 占地方 (take up space) and 占百分之十 (account for 10 percent),verb,success
1002,即,ji2,6,"Means 'namely', 'that is', or 'immediately/right away'. Often used in formal writing to clarify or specify something, or to indicate immediacy.","Common in phrases like 即使 (even if), 立即 (immediately), 即将 (about to)",adverb/conjunction,success
1003,反,fan3,6,"Means 'opposite', 'contrary', or 'anti-'; also used as a verb meaning 'to oppose' or 'to reverse'","Common in words like 反对 (oppose), 相反 (opposite), and 反应 (reaction/response)",adjective/verb,success
1004,咕,gu1,6,"An onomatopoeia representing gurgling, cooing, or murmuring sounds. Often used to mimic sounds made by birds, stomachs, or bubbling liquids.",Commonly appears in reduplicated forms like 咕咕 (gūgū) for bird cooing or 咕噜 (gūlu) for stomach rumbling,onomatopoeia,success
1005,咯,ge1,6,"A modal particle used at the end of sentences to indicate a light, casual tone or to soften a statement, similar to 'well' or 'you know' in English.","Often used in spoken Mandarin to make statements sound friendlier or less direct, as in 好咯 (alright then)",particle,success
1006,喃,nan2,6,"A character used to represent murmuring or muttering sounds, typically soft and indistinct speech.",Most commonly seen in the compound word 喃喃 (nán nán) meaning 'to murmur' or in 呢喃 (ní nán) describing soft whispers or bird chirping,onomatopoeia/verb,success
1007,嗖,sou1,6,"An onomatopoeia that represents a whooshing or whistling sound, typically describing something moving swiftly through the air.","Often used to describe the sound of wind, arrows, or objects passing by quickly, as in 嗖的一声 (with a whoosh)",onomatopoeia,success
1008,夹,jia1,6,"To clip, pinch, or hold something between two objects or surfaces; to place something in between.","Common in phrases like 夹菜 (to pick up food with chopsticks) and 夹子 (clip, clamp)",verb,success
1009,套,tao4,6,A measure word for sets or collections of things that go together; also means 'to cover' or 'to slip on' as a verb.,"Used for counting sets like 一套书 (a set of books), 一套房子 (an apartment/suite), or as a verb like 套上 (to put on/slip over)",measure word/verb,success
1010,尬,ga4,6,"Awkward, embarrassing, or uncomfortable; describes situations or feelings that are socially awkward or cringeworthy.",Most commonly seen in modern slang like 尴尬 (gān gà - awkward) or 尬聊 (gà liáo - awkward conversation),adjective,success
1011,尴,gan1,6,Embarrassed or awkward; describes a feeling of discomfort in social situations.,Most commonly used in the compound word 尴尬 (gān gà) meaning 'embarrassed' or 'awkward',adjective,success
1012,屁,pi4,6,Fart or flatulence; also used colloquially to mean 'nonsense' or 'nothing at all'.,"Common in informal speech, such as 放屁 (fàng pì - to fart/talk nonsense) or 屁话 (pì huà - nonsense/bullshit)",noun,success
1013,左,zuo3,6,"Left, as in the left side or left direction, opposite of right (右).","Common in directional phrases like 左边 (left side), 左手 (left hand), or 向左转 (turn left)",noun/adjective,success
1014,巧,qiao3,6,"Skillful, clever, or ingenious; describes someone who is good with their hands or has a talent for making things well.","Common in words like 技巧 (skill/technique), 巧克力 (chocolate - phonetic), and 灵巧 (dexterous)",adjective,success
1015,库,ku4,6,"A warehouse, storehouse, or repository where things are stored. Also commonly used in compound words related to storage and databases.","Found in words like 仓库 (warehouse), 数据库 (database), 车库 (garage)",noun,success
1016,庞,pang2,6,"Huge, enormous, or gigantic in size or scale. Also commonly used as a surname.",Most frequently seen in compounds like 庞大 (pángdà - huge/enormous) and 庞然大物 (pángrán dàwù - colossus/behemoth),adjective/noun,success
1017,建,jian4,6,"To build, construct, or establish something. Used for both physical structures and abstract concepts like organizations or systems.","Common in words like 建立 (establish), 建设 (construct), 建议 (suggest/propose)",verb,success
1018,异,yi4,6,"Different, unusual, or strange; indicates something that differs from the normal or expected.","Commonly seen in words like 异常 (abnormal), 差异 (difference), and 奇异 (peculiar)",adjective,success
1019,悬,xuan2,6,To hang or suspend in the air; to be unresolved or pending,"Common in words like 悬挂 (to hang up), 悬念 (suspense), and 悬而未决 (pending/unresolved)",verb,success
1020,承,cheng2,6,"To bear, undertake, or receive; to承认 (admit) or承担 (take responsibility for something). Often used in formal contexts to express承接 (continuing/inheriting) or承受 (enduring/bearing).","Common in compounds like 承认 (chéngrèn - to admit), 承担 (chéngdān - to undertake), 承受 (chéngshòu - to bear/endure)",verb,success
1021,捡,jian3,6,"To pick up or gather something from the ground, especially something that has been dropped or discarded.",Commonly used in phrases like 捡垃圾 (pick up trash) or 捡到钱 (find/pick up money),verb,success
1022,据,ju4,6,According to; based on. Used to cite sources or indicate the basis for information or claims.,Most commonly seen in the phrase 据说 (jùshuō - it is said that) and 根据 (gēnjù - according to),preposition/verb,success
1023,握,wo4,6,"To hold, grasp, or grip something with the hand; to clasp or shake hands.",Commonly used in 握手 (shake hands) and 把握 (grasp/seize an opportunity),verb,success
1024,撒,sa1,6,"To scatter, sprinkle, or spread something loosely (like seeds, salt, or powder). Also means to let go or release.","Common in phrases like 撒种 (scatter seeds), 撒盐 (sprinkle salt), or 撒手 (let go)",verb,success
1025,攻,gong1,6,To attack or assault; to study or specialize in a particular subject.,Common in military contexts (进攻 - to attack) and academic contexts (攻读 - to study for a degree),verb,success
1026,旅,lv3,6,Travel or journey; refers to taking a trip or being away from home for tourism or exploration.,"Commonly seen in words like 旅行 (travel), 旅游 (tourism), and 旅客 (traveler/passenger)",noun/verb,success
1027,晨,chen2,6,"Morning or early morning, specifically the time around dawn or sunrise.",Commonly seen in words like 早晨 (zǎochén - morning) and 清晨 (qīngchén - early morning),noun,success
1028,景,jing3,6,"Scenery, view, or landscape; can also refer to a situation or scene. Often used to describe natural or urban views and sights.","Common in words like 风景 (fēngjǐng - scenery), 景色 (jǐngsè - landscape), and 背景 (bèijǐng - background)",noun,success
1029,暑,shu3,6,"Heat or hot weather, especially the intense heat of summer.",Commonly seen in words like 暑假 (summer vacation) and 中暑 (heatstroke),noun,success
1030,某,mou3,6,"A pronoun meaning 'certain' or 'some' used to refer to an unspecified person, place, or thing. Often used when the speaker doesn't want to or cannot specify exactly who or what they're referring to.","Common in phrases like 某人 (a certain person/someone), 某地 (a certain place/somewhere), 某天 (a certain day/someday)",pronoun,success
1031,状,zhuang4,6,"State, condition, or appearance of something; also means shape or form.","Commonly seen in words like 状态 (state/condition), 状况 (situation), and 形状 (shape)",noun,success
1032,狂,kuang2,6,"Crazy, wild, or mad; describes extreme, uncontrolled behavior or enthusiasm. Can also mean arrogant or fanatical.",Common in words like 疯狂 (fēngkuáng - crazy/wild) and 狂热 (kuángrè - fanatical),adjective,success
1033,环,huan2,6,"A ring, circle, or loop-shaped object; can also mean to surround or encircle something.","Common in words like 环境 (environment, literally 'surrounding'), 耳环 (earring), and 循环 (cycle)",noun/verb,success
1034,瞧,qiao2,6,"To look at or see; an informal, colloquial way to say 'look' or 'see'","Common in spoken Chinese, often used in phrases like 瞧一瞧 (take a look) or 你瞧 (look!)",verb,success
1035,祝,zhu4,6,To wish or express good wishes; to offer blessings or congratulations to someone.,Commonly used in greetings and celebrations like 祝你生日快乐 (wish you happy birthday) or 祝贺 (congratulate),verb,success
1036,祥,xiang2,6,"Auspicious, lucky, or fortunate; refers to good omens and prosperity.",Commonly found in names and traditional expressions like 吉祥 (jíxiáng - auspicious) and 慈祥 (cíxiáng - kindly),adjective,success
1037,竟,jing4,6,"An adverb expressing surprise or unexpectedness, meaning 'unexpectedly', 'actually', or 'to one's surprise'.",Often used in phrases like 竟然 (unexpectedly) to emphasize that something happened contrary to expectations,adverb,success
1038,考,kao3,6,To test or examine; to take or give an exam. Also means to investigate or think over carefully.,"Common in words like 考试 (exam), 高考 (college entrance exam), and 考虑 (to consider)",verb,success
1039,胸,xiong1,6,The chest or breast area of the body; the front part of the torso between the neck and abdomen.,"Common in words like 胸口 (chest area), 胸部 (chest/breast), and 心胸 (mind/breadth of mind)",noun,success
1040,脱,tuo1,6,"To take off, remove, or shed (clothing, shoes, or outer layers); to escape or break away from something.","Common in everyday expressions like 脱衣服 (take off clothes), 脱鞋 (take off shoes)",verb,success
1041,舒,shu1,6,"Comfortable, relaxed, or at ease; describes a pleasant physical or mental state free from stress or discomfort.",Commonly seen in words like 舒服 (comfortable) and 舒适 (cozy),adjective,success
1042,虑,lv4,6,"To think over, consider, or worry about something carefully. Often refers to concerns or anxieties about future situations.","Commonly seen in words like 考虑 (kǎolǜ - to consider), 顾虑 (gùlǜ - misgivings), and 忧虑 (yōulǜ - to worry)",verb,success
1043,螺,luo2,6,A spiral-shelled creature like a snail or conch; also refers to螺旋 (spiral) shapes and螺丝 (screw) in compound words.,"Common in words like 海螺 (sea snail), 螺丝 (screw), and 螺旋 (spiral)",noun,success
1044,袜,wa4,6,Sock or stocking; a piece of clothing worn on the foot and lower leg.,"Commonly used in 袜子 (wàzi, socks) and 丝袜 (sīwà, stockings)",noun,success
1045,裹,guo3,6,"To wrap, bind, or bundle something up by covering it completely from all sides.","Commonly used for wrapping objects, food (like dumplings), or bundling oneself in clothing, as in 包裹 (package) or 裹着毯子 (wrapped in a blanket)",verb,success
1046,读,du2,6,To read aloud or to study; refers to the act of reading text or attending school.,Common in phrases like 读书 (to read books/to study) and 读大学 (to attend university),verb,success
1047,贾,jia3,6,A Chinese surname; also an archaic term meaning 'merchant' or 'to trade',"Most commonly encountered as a family name, as in 贾宝玉 (Jia Baoyu), the protagonist of the classic novel Dream of the Red Chamber",noun,success
1048,轮,lun2,6,"A wheel or circular object; also used as a measure word for rounds, turns, or cycles of events.","Common in words like 车轮 (wheel), 轮流 (take turns), and phrases like 第一轮 (first round)",noun/measure word,success
1049,迎,ying2,6,"To welcome, greet, or go to meet someone or something. Also means to move toward or face something approaching.","Common in phrases like 欢迎 (welcome), 迎接 (to meet/greet)",verb,success
1050,迹,ji4,6,"A trace, mark, or sign left behind by something; evidence or indication of past presence or activity.","Commonly used in words like 痕迹 (hénjì - trace/mark), 足迹 (zújì - footprint), and 奇迹 (qíjì - miracle)",noun,success
1051,递,di4,6,"To pass, hand over, or deliver something to someone. Commonly used when giving objects from one person to another.",Used in phrases like 递给我 (pass to me) or 递交 (submit/hand in),verb,success
1052,遇,yu4,6,"To meet or encounter someone or something, often by chance or unexpectedly. Can also mean to experience or come across a situation.","Common in words like 遇到 (yù dào - to run into), 相遇 (xiāng yù - to meet), and 遭遇 (zāo yù - to encounter/experience)",verb,success
1053,钥,yao4,6,"Key, as in the tool used to open locks. This character is almost always used in the compound word 钥匙 (yàoshi).",Rarely used alone; typically appears in 钥匙 (key),noun,success
1054,钱,qian2,6,Money or currency in general form. One of the most essential everyday words for financial transactions and discussing costs.,"Used in phrases like 多少钱 (how much money), 有钱 (to have money/be wealthy), 花钱 (to spend money)",noun,success
1055,闯,chuang3,6,To rush or barge in; to break through or force one's way into a place. Also means to venture out or make one's way in the world through bold action.,Common in phrases like 闯进 (to barge into) and 闯祸 (to cause trouble),verb,success
1056,阶,jie1,6,"A step or stair; also refers to rank, level, or grade in a hierarchy or system.","Common in words like 楼梯 (stairs), 阶段 (stage/phase), and 阶级 (social class)",noun,success
1057,专,zhuan1,5,"Means 'special', 'specialized', or 'focused on one thing'; often indicates concentration or expertise in a particular area.","Common in words like 专业 (major/profession), 专家 (expert), and 专门 (specially/exclusively)",adjective/adverb,success
1058,伟,wei3,5,"Great, mighty, or grand in scale or importance. Used to describe impressive achievements, people, or things of exceptional significance.",Commonly seen in words like 伟大 (wěidà - great/mighty) and names like 毛泽东 (Máo Zédōng),adjective,success
1059,伯,bo2,5,Father's elder brother (uncle); also used as a respectful term for elderly men or in titles to indicate seniority or rank.,Common in family terms like 伯父 (uncle) and names like 伯爵 (earl/count),noun,success
1060,值,zhi2,5,Value or worth; can also mean 'to be worth' or 'to be on duty'. Most commonly used to express the value or price of something.,"Found in words like 价值 (value), 值得 (worthwhile), and 值班 (on duty)",noun/verb,success
1061,充,chong1,5,"To fill, to be full of, or to act as/serve as. Also means to charge (a battery or phone) or to top up (an account).","Common in words like 充电 (charge a battery), 充满 (be full of), 充当 (act as)",verb,success
1062,兜,dou1,5,"A pocket or pouch; as a verb, it means to wrap up, hold in a bag, or go around in a circle.",Common in words like 裤兜 (pants pocket) and 兜风 (go for a drive/ride),noun/verb,success
1063,八,ba1,5,"The number eight. In Chinese culture, eight is considered a lucky number because it sounds similar to the word for prosperity (发).","Used in counting, dates, addresses, and phone numbers",number,success
1064,剪,jian3,5,To cut with scissors or shears; to trim or clip something using a cutting tool.,"Common in phrases like 剪头发 (cut hair), 剪纸 (paper cutting)",verb,success
1065,化,hua4,5,A suffix meaning 'to change into' or 'to transform'; also means '-ize' or '-ify' when creating verbs from nouns or adjectives.,"Common in words like 文化 (culture), 变化 (change), 现代化 (modernize), 美化 (beautify)",suffix/verb,success
1066,千,qian1,5,"The number one thousand (1,000). Used in counting, measurements, and expressing large quantities.","Common in phrases like 千米 (kilometer), 三千 (three thousand), and 成千上万 (thousands upon thousands)",number,success
