Order Number,Pinyin,Correct_Character,Frequency,Definition,Usage,Part_of_Speech,Choice_A,Choice_B,Choice_C,Choice_D,Choice_E,Correct_Choice
812,zheng4,证,10,"Certificate, proof, or evidence; a document that verifies identity, qualifications, or facts.","Commonly used in words like 证明 (proof/certificate), 身份证 (ID card), 签证 (visa)",noun,提,印,证,艳,噩,C
813,qing3,请,10,A polite word meaning 'please' or 'to invite/request.' Used to make polite requests or to invite someone to do something.,"Common in phrases like 请进 (please come in), 请坐 (please sit), or 请问 (excuse me, may I ask)",verb,薄,衣,请,困,广,C
814,tan2,谈,10,"To talk, discuss, or chat about something. Often used when having conversations or negotiations about specific topics.","Common in words like 谈话 (to talk), 谈论 (to discuss), 交谈 (to converse)",verb,挺,谈,远,蝙,尸,B
815,liang4,辆,10,"Measure word (classifier) specifically used for counting vehicles such as cars, bicycles, trucks, and buses.","Used in phrases like 一辆车 (one car), 两辆自行车 (two bicycles)",measure word,辆,批,泥,友,誉,A
816,mi2,迷,10,"To be confused, lost, or fascinated by something; can mean to lose one's way or to be obsessed with something","Used in words like 迷路 (get lost), 球迷 (sports fan), 着迷 (be fascinated)",verb/noun,工,晰,迷,豆,私,C
817,tou4,透,10,"To penetrate through, pass through, or see through something; also means thorough or complete.","Common in words like 透明 (transparent), 看透 (see through/understand completely), and 透过 (through/via)",verb/adjective,莉,透,温,消,趴,B
818,jiu3,酒,10,"Alcoholic beverage or liquor in general, including wine, beer, and spirits.","Common in words like 啤酒 (beer), 红酒 (red wine), and 喝酒 (to drink alcohol)",noun,辈,盒,蹩,酒,腿,D
819,kao4,靠,10,"To lean on, lean against, or rely on something or someone for support. Can also mean to get close to or move near something.",Common in phrases like 靠墙 (lean against the wall) or 靠自己 (rely on oneself),verb,辱,绊,鳞,靠,镜,D
820,can1,餐,10,"A meal or food served at a particular time of day. Used to refer to breakfast, lunch, dinner, or any formal eating occasion.","Common in words like 早餐 (breakfast), 午餐 (lunch), 晚餐 (dinner), and 餐厅 (restaurant)",noun,写,脆,餐,配,兢,C
821,shu3,鼠,10,"Rat or mouse; a small rodent. Also refers to the Rat, the first animal in the Chinese zodiac.",Common in words like 老鼠 (mouse/rat) and 鼠年 (Year of the Rat),noun,鼠,厄,文,镶,谢,A
822,ye4,业,9,"Business, industry, or profession; also refers to a course of study or field of work. Commonly used to describe occupations, enterprises, and professional sectors.","Found in words like 工业 (industry), 商业 (commerce), 职业 (occupation), 毕业 (graduate)",noun,杀,业,塑,雀,铺,B
823,bo2,博,9,"Means 'extensive', 'abundant', or 'broad' in knowledge or scope; also means 'to win' or 'to gain'.","Commonly seen in words like 博物馆 (museum), 博士 (doctor/PhD), and 赌博 (to gamble)",adjective/verb,尾,丁,博,弃,骂,C
824,xiang1,厢,9,"A room or compartment, especially one on the side of a building or vehicle; also refers to a wing or side section of a structure.",Commonly seen in words like 车厢 (train car/carriage) and 包厢 (private room in a restaurant),noun,厢,慢,扛,修,鹅,A
825,wei2,唯,9,"Means 'only' or 'alone', used to emphasize exclusivity or uniqueness. Often appears in formal or literary contexts to indicate 'the only' or 'solely'.",Common in phrases like 唯一 (wéiyī - the only one) and 唯有 (wéiyǒu - only have/only by),adverb,唯,楚,擅,的,勉,A
826,pa1,啪,9,"An onomatopoeia that represents a sharp, sudden sound like a slap, crack, or snap.","Commonly used to describe sounds like clapping, hitting, or things breaking",onomatopoeia,啪,殊,着,激,吱,A
827,tu2,徒,9,"Disciple, follower, or apprentice; also means 'in vain' or 'only/merely' when used as an adverb.","Common in words like 徒弟 (apprentice), 信徒 (believer), and 徒劳 (futile effort)",noun/adverb,徒,噩,愤,们,漠,A
828,hui1,徽,9,"A badge, emblem, or insignia that represents an organization, group, or achievement. Also refers to Anhui Province (安徽) in abbreviated form.","Common in words like 国徽 (national emblem), 校徽 (school badge), and 徽章 (badge/insignia)",noun,味,瑰,那,宾,徽,E
829,reng1,扔,9,To throw or toss something; also means to discard or throw away.,Common in phrases like 扔垃圾 (throw away trash) or 扔球 (throw a ball),verb,交,窄,扔,没,幕,C
830,zheng1,挣,9,To struggle or strive to break free from something; to make an effort to get loose,Often used in contexts like 挣扎 (to struggle) or when describing physical efforts to break free,verb,敲,挣,愁,过,肘,B
831,kong4,控,9,"To control, accuse, or charge; also means an enthusiast or fan of something (as a suffix in modern usage)","Used in words like 控制 (control), 指控 (accuse), and modern slang like 手机控 (phone addict)",verb/noun,按,客,虽,去,控,E
832,ca1,擦,9,"To wipe, rub, or clean something by applying friction with a cloth or hand. Can also mean to apply something by rubbing (like lotion) or to brush past something.","Common in phrases like 擦桌子 (wipe the table), 擦黑板 (erase the blackboard), 擦药 (apply medicine)",verb,质,碰,擦,能,料,C
833,zuan4,攥,9,To grip tightly with the hand; to clench or clutch something firmly in one's fist.,"Often used to describe holding money, objects, or making a fist, as in 攥着钱 (clutching money) or 攥拳头 (clenching a fist)",verb,欲,邀,攥,咧,好,C
834,huang3,晃,9,"To sway, shake, or rock back and forth; to flash or dazzle (of light)",Common in phrases like 晃动 (to shake) or 晃眼 (dazzling to the eyes),verb,骂,羽,晃,知,灭,C
835,man4,曼,9,"Means 'graceful', 'extended', or 'long'; describes something elegant and flowing. Most commonly seen in names and literary expressions.","Frequently used in transliterations of foreign names like 曼谷 (Bangkok) and 曼哈顿 (Manhattan), and in compound words like 曼妙 (graceful)",adjective,开,个,奋,监,曼,E
836,meng4,梦,9,"Dream; the images, thoughts, and sensations experienced during sleep, or an aspiration or hope for the future",Used as a noun (做梦 to have a dream) or in compounds like 梦想 (dream/aspiration),noun/verb,糖,用,混,声,梦,E
837,bang4,棒,9,"Excellent, great, or wonderful; also means a stick or club as a noun. Commonly used as an enthusiastic compliment in everyday conversation.",Used in expressions like 太棒了 (that's great!) or 你真棒 (you're awesome!),adjective/noun,黄,腾,可,棒,面,D
838,duan4,段,9,"A measure word for sections, segments, or periods of something; can also mean a section or paragraph of text, a length of road, or a period of time.","Common in phrases like 一段时间 (a period of time), 一段路 (a section of road), or 这段话 (this paragraph)",measure word/noun,段,蝇,后,查,它,A
839,qi4,汽,9,"Steam, vapor, or gas. Most commonly refers to steam or gaseous forms of liquids.","Frequently used in compounds like 汽车 (qìchē, car/automobile) and 汽水 (qìshuǐ, soda/carbonated drink)",noun,讲,布,汽,儿,跌,C
840,hui1,灰,9,Gray (the color); also means ash or dust from burning materials,Common in color descriptions like 灰色 (gray color) and words like 灰尘 (dust) or 烟灰 (cigarette ash),noun/adjective,灰,睛,逼,现,扔,A
841,lu2,炉,9,"A stove, furnace, or oven used for heating or cooking. Can refer to various heating devices from traditional coal stoves to modern kitchen ranges.","Common in words like 火炉 (huǒlú - fireplace/stove), 烤炉 (kǎolú - oven), and 炉子 (lúzi - stove)",noun,飘,电,打,边,炉,E
842,bao4,爆,9,"To explode, burst, or pop; can also mean to quick-fry or stir-fry at high heat in cooking.","Common in words like 爆炸 (explode), 爆米花 (popcorn), and cooking terms like 爆炒 (stir-fry)",verb,串,丛,爆,高,张,C
843,pa2,爬,9,"To climb, crawl, or creep using hands and feet or the body close to the ground. Used for climbing mountains, trees, stairs, or describing how babies and insects move.","Common in phrases like 爬山 (climb a mountain), 爬树 (climb a tree), 爬楼梯 (climb stairs)",verb,依,幻,爬,动,同,C
844,du2,独,9,"Alone, single, or solitary; indicates being by oneself or independent from others.","Common in words like 独自 (alone), 独立 (independent), 孤独 (lonely)",adjective,西,凄,使,独,热,D
845,dian4,电,9,"Electricity or electric power; also short for telephone, telegram, or anything related to electrical devices.","Common in words like 电话 (telephone), 电脑 (computer), 电视 (television)",noun,弗,太,电,苍,剜,C
846,tong4,痛,9,Pain or ache; to hurt. Can describe physical pain or emotional suffering.,"Common in words like 头痛 (headache), 疼痛 (pain), 痛苦 (suffering)",adjective/verb,吊,允,打,痛,穿,D
847,pan2,盘,9,"A plate, dish, or tray; also used as a measure word for disk-shaped objects or coiled things. Can also mean to coil, wind, or examine carefully.","Common in 盘子 (plate), 一盘菜 (a dish of food), 棋盘 (chessboard), or 盘问 (to interrogate)",noun/measure word/verb,吸,委,噤,心,盘,E
848,que4,确,9,"Means 'true', 'accurate', or 'certain'; used to express confirmation or certainty about something.","Commonly seen in words like 确定 (certain/to confirm), 的确 (indeed), and 确实 (really/truly)",adjective/adverb,流,才,显,确,填,D
849,yue1,约,9,To make an appointment or arrangement to meet someone; also means 'approximately' or 'about' when indicating estimates.,Common in phrases like 约会 (date/appointment) and 大约 (approximately),verb/adverb,亲,约,校,宁,观,B
850,xian4,线,9,"A line, thread, or wire; refers to any thin, elongated strand or mark.","Common in words like 电线 (electric wire), 路线 (route), 毛线 (yarn), and 直线 (straight line)",noun,弃,条,凑,线,喘,D
851,tong3,统,9,"To unite, unify, or gather together; to have overall control or command. Often used as a prefix meaning 'overall' or 'comprehensive'.","Common in words like 统一 (unify), 传统 (tradition), 系统 (system), and 总统 (president)",verb/prefix,恹,转,猫,库,统,E
852,chuan2,船,9,A boat or ship; any watercraft used for transportation on water.,"Common in words like 船票 (boat ticket), 坐船 (take a boat), 渔船 (fishing boat)",noun,戚,狂,共,抓,船,E
853,lan2,蓝,9,The color blue. Can be used as both an adjective to describe blue things or as a noun meaning 'blue'.,"Common in phrases like 蓝色 (blue color), 天蓝 (sky blue), 蓝天 (blue sky)",adjective/noun,捎,分,烦,蓝,迎,D
854,ya4,讶,9,To be surprised or astonished; to feel wonder or amazement at something unexpected.,"Most commonly seen in the word 惊讶 (jīngyà, surprised/amazed)",verb,但,千,播,周,讶,E
855,duo3,躲,9,"To hide, avoid, or dodge something or someone. Often used when trying to escape from danger, unwanted situations, or people.","Common in phrases like 躲雨 (take shelter from rain), 躲避 (avoid/evade)",verb,行,韦,躲,幅,李,C
856,yun4,运,9,"To transport, carry, or move something from one place to another; also means luck or fortune.","Common in words like 运动 (sports/exercise), 运输 (transportation), and 幸运 (lucky)",verb/noun,橱,加,运,急,梅,C
857,tui4,退,9,"To move back, retreat, or withdraw; also means to return or refund something.","Common in words like 退出 (exit/quit), 退休 (retire), and 退款 (refund)",verb,姨,沾,芒,体,退,E
858,cai3,采,9,"To pick, gather, or collect (such as flowers, fruits, or information); to adopt or select something.","Common in words like 采访 (interview), 采取 (adopt/take measures), 采购 (purchase/procure)",verb,溢,隆,尾,采,十,D
859,ling3,领,9,"To lead, guide, or receive/collect something. Also refers to a collar (of clothing) or neck area.","Common in words like 领导 (leader), 领取 (to receive/collect), and 衣领 (collar)",verb/noun,司,篷,平,领,熏,D
860,qi2,骑,9,"To ride or sit astride something, such as a horse, bicycle, or motorcycle.","Common in phrases like 骑马 (ride a horse), 骑车 (ride a bike)",verb,该,坏,狱,怜,骑,E
861,qi1,七,8,The number seven.,"Used in counting, dates, time expressions, and mathematical contexts",number,力,挂,替,盔,七,E
862,cong2,丛,8,"A cluster, clump, or thicket of plants growing together; a collection of things gathered densely in one place.","Commonly seen in words like 草丛 (grass cluster), 丛林 (jungle/forest), or 花丛 (flower bed)",noun,场,丛,祟,暗,睬,B
863,li4,丽,8,"Beautiful, elegant, or magnificent; describes something visually attractive or splendid.",Commonly used in names (especially female names like 丽丽) and in words like 美丽 (beautiful) and 壮丽 (magnificent),adjective,外,丽,米,挤,蟾,B
864,chan3,产,8,"To produce, give birth to, or yield; also refers to products or property. Commonly used in words related to production, manufacturing, and assets.","Found in common words like 生产 (to produce), 产品 (product), 财产 (property)",verb/noun,尽,羞,清,产,亚,D
865,jie4,介,8,To be situated between or in the middle; to introduce or present someone/something. Most commonly seen in compound words related to introduction or intermediary concepts.,"Found in words like 介绍 (jièshào - to introduce), 中介 (zhōngjiè - intermediary/agent)",verb,囊,翻,胃,内,介,E
866,ru4,入,8,"To enter, go into, or join. It indicates movement from outside to inside a place, group, or state.","Common in words like 进入 (to enter), 入口 (entrance), 加入 (to join)",verb,精,艳,终,入,弱,D
867,lie4,列,8,"To arrange in rows or lines; a row, line, or series of items. Also means to list or enumerate things systematically.","Common in words like 列车 (train), 列表 (list), and 系列 (series)",verb/noun,蜒,晰,列,板,宿,C
868,sheng4,剩,8,To remain or be left over; to have a surplus of something after use or distribution.,"Commonly used in phrases like 剩下 (to be left), 剩饭 (leftover food/rice)",verb,誓,其,瓦,剩,舍,D
869,hou4,厚,8,"Thick (in dimension or density); can also mean generous, deep, or rich when describing relationships, flavors, or kindness.",Used to describe physical thickness (厚书 thick book) or abstract qualities (深厚 deep/profound),adjective,厚,恐,资,显,绵,A
870,diao1,叼,8,To hold something in the mouth (like an animal carrying something with its teeth or beak),"Commonly used to describe dogs, birds, or other animals carrying objects in their mouths, like 狗叼着骨头 (dog holding a bone in its mouth)",verb,辆,袭,叼,另,蹼,C
871,han2,含,8,"To contain, hold, or include something within; to keep something in one's mouth without swallowing.","Common in words like 包含 (to include), 含有 (to contain), and 含义 (meaning/implication)",verb,含,段,零,往,邦,A
872,da2,哒,8,"An onomatopoeia representing a clicking, tapping, or rattling sound, such as the sound of a machine gun, horse hooves, or typing. Also used as a cute particle at the end of sentences in informal online speech.",Common in sound effects like 哒哒哒 (rat-a-tat) or as a playful ending particle in casual text messages,onomatopoeia/particle,伦,七,陷,哒,院,D
873,heng1,哼,8,"An onomatopoeia expressing discontent, disdain, or mild annoyance; can also mean to hum or snort.","Often used as an interjection to show displeasure or skepticism, like '哼,我才不信呢!' (Hmph, I don't believe it!)",interjection/verb,哼,骂,历,推,章,A
874,tang2,唐,8,"The Tang Dynasty (618-907 CE), one of China's most prosperous historical periods; also used to refer to China or Chinese people in some contexts.","Commonly seen in 唐朝 (Tang Dynasty), 唐人街 (Chinatown), and 唐诗 (Tang poetry)",noun,嘀,鼾,唐,位,耸,C
875,a,啊,8,"A modal particle used at the end of sentences to express emotion, emphasis, or to soften tone. It can convey surprise, realization, admiration, or make statements sound more gentle and friendly.","Common in exclamations like 好啊 (great!), questions like 是吗啊 (really?), and casual statements",particle,是,啊,展,允,拉,B
876,sang3,嗓,8,Throat or voice; refers to the vocal organs used for speaking and singing.,Commonly used in words like 嗓子 (throat/voice) and 嗓音 (voice quality),noun,惹,悉,这,灵,嗓,E
877,ji4,寂,8,"Quiet, silent, or lonely; describes a state of stillness or desolation with few people or sounds.",Commonly appears in compound words like 寂寞 (jìmò - lonely) and 寂静 (jìjìng - quiet/silent),adjective,失,育,大,搭,寂,E
878,han2,寒,8,"Cold or chilly, referring to low temperature or cold weather. Can also describe poverty or a feeling of coldness.","Common in words like 寒冷 (cold weather), 严寒 (severe cold), and 寒假 (winter vacation)",adjective,欲,凰,传,要,寒,E
879,huan4,幻,8,"Illusion, fantasy, or something unreal and imaginary. Refers to things that appear real but are not, or exist only in imagination.","Common in words like 幻想 (fantasy/illusion), 幻觉 (hallucination), and 梦幻 (dreamlike)",noun/adjective,据,之,从,幻,犯,D
880,nu3,弩,8,"A crossbow, an ancient mechanical bow weapon that shoots arrows using a trigger mechanism.","Mainly used in historical, military, or literary contexts; common in phrases like 弓弩 (bows and crossbows)",noun,知,弩,纠,裹,远,B
881,nin2,您,8,"Polite and respectful form of 'you' (singular), used to show courtesy and respect to elders, superiors, or strangers.","Common in formal situations, customer service, and when addressing people of higher status or age",pronoun,您,术,吟,法,蓬,A
882,tuo1,拖,8,"To drag, pull, or haul something along a surface; to delay or postpone something.",Common in phrases like 拖地 (to mop the floor) and 拖延 (to procrastinate/delay),verb,拖,拔,倒,手,踏,A
883,zhang3,掌,8,"Palm of the hand; also means to control, manage, or be in charge of something.","Common in words like 手掌 (palm), 掌握 (to grasp/master), and 鼓掌 (to applaud)",noun/verb,掌,奇,雨,梯,缩,A
884,tui1,推,8,"To push or shove something forward with force; also means to postpone, delay, or recommend.","Common in phrases like 推门 (push a door), 推迟 (postpone), and 推荐 (recommend)",verb,音,仓,喊,代,推,E
885,shou1,收,8,"To receive, collect, or gather something; also means to put away or store items.","Common in words like 收到 (receive), 收拾 (tidy up), and 收入 (income)",verb,比,基,兮,强,收,E
886,duan4,断,8,"To break, snap, or cut off; to interrupt or discontinue something. Can refer to physical breaking or abstract interruption.","Common in words like 断线 (connection broken), 中断 (interrupt), 判断 (judge/determine)",verb,五,断,救,勺,三,B
887,hun1,昏,8,"Dark, dim, or dusky; also means muddled, confused, or to lose consciousness (faint).","Common in words like 昏迷 (coma), 黄昏 (dusk), and 头昏 (dizzy)",adjective/verb,朋,绍,太,噜,昏,E
888,ceng2,曾,8,"Adverb meaning 'once' or 'formerly', indicating that something happened at some point in the past","Commonly used in phrases like 曾经 (once, formerly) to describe past experiences",adverb,于,让,奈,曾,遗,D
889,lang3,朗,8,"Bright, clear, or loud; describes something that is well-lit, distinct, or resonant.","Commonly seen in words like 朗读 (to read aloud), 开朗 (cheerful/outgoing), and 晴朗 (clear/sunny)",adjective,觉,朗,将,弃,嚷,B
890,ji1,机,8,Machine or device; also means opportunity or chance. Most commonly used as a suffix in compound words related to machinery and equipment.,"Found in words like 飞机 (airplane), 手机 (cell phone), 电脑机 (computer), and 机会 (opportunity)",noun,血,机,懂,次,愣,B
891,ke1,棵,8,A measure word (classifier) used for counting trees and other plants with a trunk or stem.,"Used in phrases like 一棵树 (one tree), 三棵白菜 (three cabbages)",measure word,棵,温,堆,捕,字,A
892,qian4,欠,8,To owe money or a debt to someone; to lack or be short of something.,Common in phrases like 欠钱 (owe money) and 欠缺 (to lack),verb,绵,行,智,父,欠,E
893,xi3,洗,8,"To wash or clean something with water or other liquid. This is the primary verb used for washing hands, clothes, dishes, hair, and bathing.","Common in everyday phrases like 洗手 (wash hands), 洗澡 (take a bath), 洗衣服 (wash clothes)",verb,差,赌,洗,歉,兰,C
894,liu1,溜,8,"To slip away, sneak off, or slide; also means to stroll or take a walk. Can describe smooth, sliding movements or quietly leaving a place.","Common in phrases like 溜走 (slip away), 溜达 (take a stroll), or 溜冰 (ice skating)",verb,临,加,溜,液,雷,C
895,piao1,漂,8,To float or drift on water; to move along on the surface of liquid without sinking.,Common in contexts like 漂流 (to drift/float downstream) or describing objects floating on water,verb,燎,漂,白,叨,参,B
896,re4,热,8,"Hot or warm in temperature; can also mean enthusiastic, popular, or passionate about something.","Used to describe weather (天气很热 - the weather is hot), food temperature, or popularity (热门 - popular/hot topic)",adjective,魂,癞,弗,热,妹,D
897,jiao1,焦,8,"Burnt or scorched; anxious or worried. Describes something that has been overcooked or charred, or a state of mental anxiety.","Common in words like 焦虑 (anxious), 焦急 (worried), and 烧焦 (burnt)",adjective,焦,空,穴,悚,文,A
898,yan4,焰,8,Flame or blaze; the visible part of fire that rises up and gives off light and heat.,"Commonly seen in words like 火焰 (huǒyàn - flame) and 气焰 (qìyàn - arrogance, literally 'air flame')",noun,扫,跑,罚,撕,焰,E
899,shu2,熟,8,"Ripe, cooked, or well-done (for food); familiar or well-acquainted (for people or things). Describes something that has reached a mature or ready state.","Common in phrases like 熟人 (acquaintance), 成熟 (mature), 熟悉 (familiar), and 煮熟 (cooked through)",adjective,希,脾,熟,合,滴,C
900,jue2,爵,8,A noble rank or title of nobility in ancient China; also refers to a type of ancient bronze wine vessel with three legs.,Commonly seen in historical contexts like 爵位 (noble title) or 封爵 (to confer a title of nobility),noun,爵,篱,蜒,纸,普,A
901,hen3,狠,8,"Ruthless, fierce, or harsh; describes someone or something that is severe, merciless, or extreme in action or attitude.","Often used in phrases like 狠心 (heartless), 下狠手 (strike ruthlessly), or 很狠 (very fierce/harsh)",adjective,假,狠,板,蜜,豆,B
902,guan4,盥,8,To wash one's hands and face; a formal or literary term for washing or cleansing.,Mainly seen in formal contexts like 盥洗室 (bathroom/washroom) or classical Chinese texts,verb,盥,瞪,挥,躯,逼,A
903,jiu1,究,8,"To investigate, examine, or study something thoroughly; to get to the bottom of a matter.","Commonly seen in words like 研究 (research), 追究 (investigate), and 究竟 (after all, actually)",verb,躺,究,键,如,亏,B
904,shu4,竖,8,Vertical or upright; to stand something up or erect it. Can also refer to a vertical stroke in Chinese calligraphy.,Common in words like 竖立 (to stand upright) and 横竖 (horizontal and vertical),adjective/verb,骸,杯,竖,够,凌,C
905,duan1,端,8,"To carry something level with both hands; also means 'end' or 'extremity' of something. As a verb, it commonly refers to holding or bringing items like plates or bowls carefully.",Often used in contexts like 端茶 (carry tea) or 端盘子 (carry a plate); as a noun in 两端 (both ends),verb/noun,咐,不,四,矮,端,E
906,jian4,箭,8,"An arrow, the projectile shot from a bow. Also refers to arrow-like objects or symbols, such as directional arrows.","Common in words like 弓箭 (bow and arrow), 火箭 (rocket), and 箭头 (arrowhead/arrow symbol)",noun,箭,人,夸,抬,威,A
907,song3,耸,8,To tower upward or stand tall; to rise high or stick up prominently.,"Commonly used to describe tall buildings, mountains, or shoulders being raised (耸肩 shrug shoulders)",verb,视,志,多,耸,秘,D
908,xiao4,肖,8,To resemble or be similar to; most commonly used as a surname or in the word 生肖 (Chinese zodiac),Frequently seen in 生肖 (shēngxiào - zodiac animal) and as a family name,verb/noun,肖,佩,拎,好,传,A
909,zang4,脏,8,"Dirty, filthy, or unclean. Describes something that is physically soiled or messy.","Commonly used to describe dirty clothes (衣服很脏), dirty hands (手脏), or messy rooms",adjective,自,深,脏,智,松,C
910,bo2,脖,8,Neck; the part of the body connecting the head to the shoulders.,Almost always used in the compound word 脖子 (bózi) meaning 'neck',noun,像,红,耐,汤,脖,E
911,zhi4,至,8,Means 'to arrive at' or 'to reach'; also used to indicate 'until' or 'up to' a certain point in time or space.,"Common in phrases like 至少 (at least), 自...至... (from...to...), and 至于 (as for)",verb/preposition,抖,音,冒,焉,至,E
912,ban1,般,8,"A suffix meaning 'kind' or 'sort' that indicates similarity or manner, equivalent to 'like' or '-like' in English.",Most commonly seen in compounds like 一般 (yībān - ordinary/general) and 这般 (zhèbān - like this),suffix/particle,般,摸,盈,睛,墙,A
913,cang1,苍,8,"Dark blue, gray, or pale in color; often describes the sky, sea, or something aged and weathered.","Commonly seen in words like 苍天 (the heavens), 苍老 (aged/elderly), and 苍白 (pale)",adjective,苍,隐,米,露,年,A
914,cha2,茶,8,"Tea, referring to both the beverage and the tea plant/leaves used to make it.","Common in phrases like 喝茶 (drink tea), 茶叶 (tea leaves), and 绿茶 (green tea)",noun,男,胆,色,味,茶,E
915,yi4,议,8,"To discuss, deliberate, or comment on something; also means opinion or proposal","Common in words like 会议 (meeting), 建议 (suggestion), and 议论 (to discuss)",verb/noun,将,议,条,暗,蜿,B
916,lun4,论,8,"To discuss, debate, or talk about something; to determine or judge based on certain criteria","Common in words like 讨论 (discuss), 理论 (theory), 论文 (thesis/paper), and 无论 (no matter/regardless)",verb,论,跄,主,突,解,A
917,xiang4,象,8,"Elephant; also means appearance, image, or phenomenon. Commonly used as a verb meaning 'to resemble' or 'to be like'.","Found in words like 大象 (elephant), 现象 (phenomenon), 好象/好像 (to seem like)",noun/verb,厨,死,铜,镜,象,E
918,tie1,贴,8,"To stick, paste, or attach something to a surface; to glue or affix closely to something.","Common in everyday contexts like 贴纸 (sticker), 贴海报 (put up a poster), or 贴邮票 (affix a stamp)",verb,贴,抱,界,思,鸡,A
919,zei2,贼,8,"A thief or robber; someone who steals. In colloquial usage, can also mean 'very' or 'extremely' as an adverb.",Common in phrases like 小贼 (petty thief) or colloquially 贼好吃 (extremely delicious),noun/adverb,急,们,牙,呢,贼,E
920,zong1,踪,8,"Trace, track, or footprint; refers to marks or signs left behind that show where someone or something has been.",Most commonly seen in compounds like 踪迹 (zōngjì - traces/tracks) and 失踪 (shīzōng - to go missing),noun,怀,尖,踪,头,草,C
921,su4,速,8,"Speed, velocity, or rate; describes how fast something moves or happens.","Commonly used in compounds like 速度 (speed), 快速 (fast/rapid), and 高速 (high-speed)",noun/adjective,速,走,制,沃,伸,A
922,shi4,释,8,"To release, let go, or set free; to explain or interpret the meaning of something","Common in words like 解释 (to explain), 释放 (to release), and 诠释 (to interpret)",verb,忘,纸,释,板,发,C
923,men4,闷,8,"Feeling bored, depressed, or stuffy; describes a heavy, oppressive feeling in one's mood or atmosphere.",Common in expressions like 闷热 (stuffy/humid weather) or 心里很闷 (feeling down/depressed),adjective,间,故,闷,堡,迪,C
924,ji4,际,8,"Edge, border, or boundary; often used to mean 'between' or 'inter-' in compound words relating to relationships or connections.","Commonly seen in words like 国际 (guójì - international), 实际 (shíjì - actual/practical), and 交际 (jiāojì - social interaction)",noun/bound morpheme,三,神,算,际,量,D
925,wu4,雾,8,Fog or mist; a thick cloud of tiny water droplets suspended in the air near the ground that reduces visibility.,Common in weather descriptions like 大雾 (heavy fog) or 雾天 (foggy day),noun,海,肩,落,雾,狗,D
926,guan3,馆,8,"A building or establishment that serves a specific public function, such as a museum, library, restaurant, or hotel. It is used as a suffix to indicate various types of public venues or facilities.","Common in words like 图书馆 (library), 博物馆 (museum), 饭馆 (restaurant), 宾馆 (hotel)",noun,馆,容,呆,停,条,A
927,fu4,付,7,To pay or hand over money; to give payment for goods or services.,Common in words like 付钱 (to pay money) and 支付 (payment),verb,认,店,句,付,项,D
928,huo3,伙,7,"A measure word for groups of people, often with a collective or informal sense; can also mean 'partner' or 'companion'.",Commonly seen in 伙伴 (huǒbàn - partner/companion) and 一伙人 (yì huǒ rén - a group of people),measure word/noun,伙,爸,防,拿,纳,A
929,tou1,偷,7,To steal or take something secretly without permission; can also mean to do something secretly or stealthily.,"Common in phrases like 偷东西 (steal things) or 偷偷地 (secretly, stealthily)",verb,冒,干,喊,偷,赢,D
930,yun3,允,7,"To allow, permit, or consent to something. It means to give permission or approval for an action or request.",Commonly seen in formal contexts like 允许 (yǔnxǔ - to permit) and 答应 (dāying - to promise/agree),verb,禁,妮,允,脚,佛,C
931,feng4,凤,7,"Phoenix, a mythical Chinese bird symbolizing good fortune, prosperity, and the empress. Often paired with dragon (龙) in traditional Chinese culture.","Common in names, idioms like 龙凤呈祥 (dragon and phoenix bring prosperity), and cultural references",noun,凤,鹰,密,弟,奋,A
932,gong1,功,7,"Merit, achievement, or skill; also refers to effort or work put into something. Commonly used to describe accomplishments,功夫 (kung fu/skill), or success in endeavors.","Found in words like 成功 (success), 功课 (homework/lessons), and 功夫 (kung fu/skill)",noun,厉,安,功,愉,节,C
933,nu3,努,7,To exert oneself or make an effort; to strive or work hard toward a goal.,"Most commonly seen in the word 努力 (nǔlì, to work hard/make an effort)",verb,章,标,界,努,咬,D
934,wo4,卧,7,To lie down or recline; to be in a horizontal resting position.,"Common in words like 卧室 (bedroom, literally 'lying room') and 卧铺 (sleeping berth on a train)",verb,乱,盖,花,敲,卧,E
935,tan4,叹,7,"To sigh or exclaim, expressing emotions like sadness, regret, or admiration through an audible breath or utterance.",Commonly seen in words like 叹气 (to sigh) and 感叹 (to exclaim with emotion),verb,体,试,莫,深,叹,E
936,xu1,吁,7,To exhale or sigh; to appeal or call out for something urgently.,Often seen in formal written expressions like 呼吁 (to appeal/call for),verb,新,吁,默,忘,假,B
937,pao2,咆,7,"To roar or bellow loudly, typically describing the fierce sound made by animals like lions or tigers, or angry shouting by people.",Most commonly seen in the word 咆哮 (páoxiào) meaning 'to roar',verb,严,任,由,取,咆,E
938,ka1,咔,7,"An onomatopoeia representing a clicking, snapping, or cracking sound.","Commonly used in words like 咔嚓 (kāchā, click/snap sound) or to mimic mechanical sounds",onomatopoeia,单,咔,穆,恐,费,B
939,long2,咙,7,Throat; refers to the passage in the neck used for breathing and swallowing,"Almost always used in the compound word 喉咙 (hóulóng, throat)",noun,涨,妖,咙,咒,哑,C
940,xiao1,哮,7,"To roar, howl, or wheeze; describes loud, forceful breathing sounds or animal roars.","Most commonly seen in 哮喘 (xiàochuǎn, asthma) and describing roaring sounds like wind or beasts",verb,结,魂,哮,签,鲁,C
